Departure_mapped,Arrival_mapped,train_numbers
Torino Porta Nuova,Bari Centrale,9939
Bari Centrale,Torino Porta Nuova,"9928,8140"
Roma Termini,Bari Centrale,8141
Bolzano,Roma Termini,"8963,8953"
Roma Termini,Bolzano,8966
Napoli,Genova Brignole,9992
Genova Brignole,Napoli,9998
Udine,Milano Centrale,8971
Milano Centrale,Udine,8993
Udine,Napoli,8907
Napoli,Udine,8920
Trieste C.le,Napoli,"8902,8102"
Napoli,Trieste C.le,8918
Reggio Calabria,Roma Termini,8192
Roma Termini,Reggio Calabria,8191
Reggio Calabria,Torino Porta Nuova,8134
Torino Porta Nuova,Reggio Calabria,6143
Reggio Calabria,Milano Centrale,8158
Milano Centrale,Reggio Calabria,8111
Venezia Santa Lucia,Milano Centrale,"8992,8988,8986,8978,8984,8970,8996,8980,8974"
Milano Centrale,Venezia Santa Lucia,"8989,8995,8997,8983,8973,8987,8981,8977"
Venezia Santa Lucia,Roma Termini,"8911,8905,8927"
Roma Termini,Venezia Santa Lucia,"8924,8916,8914,8900,8906,8928"
Venezia Santa Lucia,Salerno,"8919,8913"
Salerno,Venezia Santa Lucia,8910
Venezia Santa Lucia,Napoli,"8923,8929,8925,8903"
Napoli,Venezia Santa Lucia,"8908,8904,8922"
Torino Porta Nuova,Salerno,"9951,9971,9947"
Salerno,Torino Porta Nuova,"9920,9916"
Torino Porta Nuova,Roma Termini,"9963,9923"
Roma Termini,Torino Porta Nuova,9904
Torino Porta Nuova,Napoli,"9919,9927,9959,9955,9935"
Napoli,Torino Porta Nuova,"9946,9940,9908,9912,9994,9924"
Milano Centrale,Torino Porta Nuova,9900
Napoli,Brescia,8956
Brescia,Napoli,8967
Roma Termini,Brescia,8960
Brescia,Roma Termini,"8959,9941"
Milano Centrale,Salerno,"9991,9977,9931"
Salerno,Milano Centrale,"9950,9962,9954"
Milano Centrale,Napoli,"9987,9967,9995,9975,9981,9989"
Napoli,Milano Centrale,"9980,9996,9970,9932,9982,9974,9948"
Milano Centrale,Roma Termini,"9979,9993,9985,9983,9969,9961,9997"
Roma Termini,Milano Centrale,"9984,9944,9986,9978,9976,9990"
Caserta,Milano Centrale,9972
Roma Termini,Napoli,9903
