route_id,service_id,trip_id,trip_short_name
R_8900,SVC_20260220,T_8900_20260220,8900
R_8902,SVC_20260220,T_8902_20260220,8902
R_8903,SVC_20260220,T_8903_20260220,8903
R_8905,SVC_20260220,T_8905_20260220,8905
R_8906,SVC_20260220,T_8906_20260220,8906
R_8907,SVC_20260220,T_8907_20260220,8907
R_8924,SVC_20260220,T_8924_20260220,8924
R_8953,SVC_20260220,T_8953_20260220,8953
R_8971,SVC_20260220,T_8971_20260220,8971
R_8973,SVC_20260220,T_8973_20260220,8973
R_8974,SVC_20260220,T_8974_20260220,8974
R_8977,SVC_20260220,T_8977_20260220,8977
R_9904,SVC_20260220,T_9904_20260220,9904
R_9908,SVC_20260220,T_9908_20260220,9908
R_9919,SVC_20260220,T_9919_20260220,9919
R_9923,SVC_20260220,T_9923_20260220,9923
R_9928,SVC_20260220,T_9928_20260220,9928
R_9941,SVC_20260220,T_9941_20260220,9941
R_9967,SVC_20260220,T_9967_20260220,9967
R_9969,SVC_20260220,T_9969_20260220,9969
R_9971,SVC_20260220,T_9971_20260220,9971
R_9974,SVC_20260220,T_9974_20260220,9974
R_9998,SVC_20260220,T_9998_20260220,9998
