trip_id,arrival_time,departure_time,stop_id,stop_sequence
T_8902_20260220,,08:02:00,STOP_TSC,0
T_8902_20260220,08:25:00,08:27:00,STOP_MNF,1
T_8902_20260220,08:32:00,08:34:00,STOP_RHA,2
T_8902_20260220,08:58:00,09:00:00,STOP_LTL,3
T_8902_20260220,09:08:00,09:10:00,STOP_PGR,4
T_8902_20260220,09:27:00,09:29:00,STOP_SDP,5
T_8902_20260220,09:55:00,10:17:00,STOP_VEM,6
T_8902_20260220,10:33:00,10:35:00,STOP_PD_,7
T_8902_20260220,11:08:00,11:10:00,STOP_F__,8
T_8902_20260220,11:39:00,11:42:00,STOP_BO2,9
T_8902_20260220,12:20:00,12:28:00,STOP_SMN,10
T_8902_20260220,13:54:00,13:57:00,STOP_RTB,11
T_8902_20260220,14:05:00,14:15:00,STOP_RMT,12
T_8902_20260220,15:33:00,,STOP_NAC,13
T_8911_20260220,,11:05:00,STOP_VSL,0
T_8911_20260220,11:15:00,11:17:00,STOP_VEM,1
T_8911_20260220,11:33:00,11:35:00,STOP_PD_,2
T_8911_20260220,11:55:00,11:57:00,STOP_R__,3
T_8911_20260220,12:39:00,12:42:00,STOP_BO2,4
T_8911_20260220,13:20:00,13:28:00,STOP_SMN,5
T_8911_20260220,14:53:00,14:56:00,STOP_RTB,6
T_8911_20260220,15:10:00,,STOP_RMT,7
T_8914_20260220,,11:55:00,STOP_RMT,0
T_8914_20260220,12:00:00,12:03:00,STOP_RTB,1
T_8914_20260220,13:31:00,13:39:00,STOP_SMN,2
T_8914_20260220,14:18:00,14:21:00,STOP_BO2,3
T_8914_20260220,15:04:00,15:06:00,STOP_R__,4
T_8914_20260220,15:25:00,15:27:00,STOP_PD_,5
T_8914_20260220,15:42:00,15:44:00,STOP_VEM,6
T_8914_20260220,15:55:00,,STOP_VSL,7
T_8916_20260220,,12:55:00,STOP_RMT,0
T_8916_20260220,13:00:00,13:03:00,STOP_RTB,1
T_8916_20260220,14:31:00,14:39:00,STOP_SMN,2
T_8916_20260220,15:18:00,15:21:00,STOP_BO2,3
T_8916_20260220,15:50:00,15:52:00,STOP_F__,4
T_8916_20260220,16:25:00,16:27:00,STOP_PD_,5
T_8916_20260220,16:42:00,16:44:00,STOP_VEM,6
T_8916_20260220,16:55:00,,STOP_VSL,7
T_8918_20260220,,13:35:00,STOP_NAC,0
T_8918_20260220,14:46:00,14:55:00,STOP_RMT,1
T_8918_20260220,15:02:00,15:05:00,STOP_RTB,2
T_8918_20260220,16:31:00,16:39:00,STOP_SMN,3
T_8918_20260220,17:18:00,17:21:00,STOP_BO2,4
T_8918_20260220,17:50:00,17:52:00,STOP_F__,5
T_8918_20260220,18:25:00,18:27:00,STOP_PD_,6
T_8918_20260220,18:42:00,18:55:00,STOP_VEM,7
T_8918_20260220,19:24:00,19:26:00,STOP_SDP,8
T_8918_20260220,19:47:00,19:49:00,STOP_PGR,9
T_8918_20260220,19:57:00,19:58:00,STOP_LTL,10
T_8918_20260220,20:22:00,20:24:00,STOP_RHA,11
T_8918_20260220,20:30:00,20:32:00,STOP_MNF,12
T_8918_20260220,20:56:00,,STOP_TSC,13
