trip_id,arrival_time,departure_time,stop_id,stop_sequence
T_8111_20260224,,06:40:00,STOP_MC_,0
T_8111_20260224,07:26:00,07:28:00,STOP_AAV,1
T_8111_20260224,07:54:00,07:57:00,STOP_BO2,2
T_8111_20260224,08:35:00,08:43:00,STOP_SMN,3
T_8111_20260224,10:19:00,10:30:00,STOP_RMT,4
T_8111_20260224,11:48:00,12:00:00,STOP_NAC,5
T_8111_20260224,12:44:00,12:46:00,STOP_SAL,6
T_8111_20260224,13:16:00,13:18:00,STOP_AGR,7
T_8111_20260224,13:29:00,13:31:00,STOP_VLH,8
T_8111_20260224,14:01:00,14:03:00,STOP_SRI,9
T_8111_20260224,14:11:00,14:13:00,STOP_MRT,10
T_8111_20260224,14:51:00,14:54:00,STOP_PAR,11
T_8111_20260224,15:24:00,15:27:00,STOP_LON,12
T_8111_20260224,15:45:00,15:47:00,STOP_VIP,13
T_8111_20260224,16:08:00,16:10:00,STOP_RUT,14
T_8111_20260224,16:43:00,16:46:00,STOP_VSG,15
T_8111_20260224,17:13:00,,STOP_RCE,16
T_8900_20260224,,05:55:00,STOP_RMT,0
T_8900_20260224,06:02:00,06:05:00,STOP_RTB,1
T_8900_20260224,07:31:00,07:39:00,STOP_SMN,2
T_8900_20260224,08:18:00,08:21:00,STOP_BO2,3
T_8900_20260224,08:47:00,08:49:00,STOP_F__,4
T_8900_20260224,09:25:00,09:27:00,STOP_PD_,5
T_8900_20260224,09:42:00,09:44:00,STOP_VEM,6
T_8900_20260224,09:55:00,,STOP_VSL,7
T_8902_20260224,,08:02:00,STOP_TSC,0
T_8902_20260224,08:25:00,08:27:00,STOP_MNF,1
T_8902_20260224,08:32:00,08:34:00,STOP_RHA,2
T_8902_20260224,08:58:00,09:00:00,STOP_LTL,3
T_8902_20260224,09:08:00,09:10:00,STOP_PGR,4
T_8902_20260224,09:27:00,09:29:00,STOP_SDP,5
T_8902_20260224,09:55:00,10:17:00,STOP_VEM,6
T_8902_20260224,10:33:00,10:35:00,STOP_PD_,7
T_8902_20260224,11:08:00,11:10:00,STOP_F__,8
T_8902_20260224,11:39:00,11:42:00,STOP_BO2,9
T_8902_20260224,12:20:00,12:28:00,STOP_SMN,10
T_8902_20260224,13:54:00,13:57:00,STOP_RTB,11
T_8902_20260224,14:05:00,14:15:00,STOP_RMT,12
T_8902_20260224,15:33:00,,STOP_NAC,13
T_8903_20260224,,07:05:00,STOP_VSL,0
T_8903_20260224,07:15:00,07:17:00,STOP_VEM,1
T_8903_20260224,07:33:00,07:35:00,STOP_PD_,2
T_8903_20260224,08:09:00,08:11:00,STOP_F__,3
T_8903_20260224,08:39:00,08:42:00,STOP_BO2,4
T_8903_20260224,09:20:00,09:28:00,STOP_SMN,5
T_8903_20260224,10:54:00,10:57:00,STOP_RTB,6
T_8903_20260224,11:05:00,11:15:00,STOP_RMT,7
T_8903_20260224,12:33:00,,STOP_NAC,8
T_8904_20260224,,06:19:00,STOP_NAC,0
T_8904_20260224,07:35:00,07:55:00,STOP_RMT,1
T_8904_20260224,08:02:00,08:05:00,STOP_RTB,2
T_8904_20260224,09:31:00,09:39:00,STOP_SMN,3
T_8904_20260224,10:18:00,10:21:00,STOP_BO2,4
T_8904_20260224,11:04:00,11:06:00,STOP_R__,5
T_8904_20260224,11:25:00,11:27:00,STOP_PD_,6
T_8904_20260224,11:42:00,11:44:00,STOP_VEM,7
T_8904_20260224,11:55:00,,STOP_VSL,8
T_8905_20260224,,08:05:00,STOP_VSL,0
T_8905_20260224,08:15:00,08:17:00,STOP_VEM,1
T_8905_20260224,08:33:00,08:35:00,STOP_PD_,2
T_8905_20260224,08:55:00,08:57:00,STOP_R__,3
T_8905_20260224,09:39:00,09:42:00,STOP_BO2,4
T_8905_20260224,10:20:00,10:28:00,STOP_SMN,5
T_8905_20260224,11:54:00,11:57:00,STOP_RTB,6
T_8905_20260224,12:10:00,,STOP_RMT,7
T_8906_20260224,,08:55:00,STOP_RMT,0
T_8906_20260224,09:02:00,09:05:00,STOP_RTB,1
T_8906_20260224,10:31:00,10:39:00,STOP_SMN,2
T_8906_20260224,11:18:00,11:21:00,STOP_BO2,3
T_8906_20260224,11:47:00,11:49:00,STOP_F__,4
T_8906_20260224,12:25:00,12:27:00,STOP_PD_,5
T_8906_20260224,12:42:00,12:44:00,STOP_VEM,6
T_8906_20260224,12:55:00,,STOP_VSL,7
T_8907_20260224,,07:23:00,STOP_UDN,0
T_8907_20260224,07:58:00,08:00:00,STOP_PNE,1
T_8907_20260224,08:21:00,08:23:00,STOP_CON,2
T_8907_20260224,08:43:00,08:45:00,STOP_TVC,3
T_8907_20260224,09:08:00,09:20:00,STOP_VEM,4
T_8907_20260224,09:33:00,09:35:00,STOP_PD_,5
T_8907_20260224,10:09:00,10:11:00,STOP_F__,6
T_8907_20260224,10:39:00,10:42:00,STOP_BO2,7
T_8907_20260224,11:20:00,11:28:00,STOP_SMN,8
T_8907_20260224,12:54:00,12:57:00,STOP_RTB,9
T_8907_20260224,13:05:00,13:30:00,STOP_RMT,10
T_8907_20260224,14:48:00,,STOP_NAC,11
T_8910_20260224,,08:44:00,STOP_SAL,0
T_8910_20260224,09:23:00,09:35:00,STOP_NAC,1
T_8910_20260224,10:45:00,10:55:00,STOP_RMT,2
T_8910_20260224,11:02:00,11:05:00,STOP_RTB,3
T_8910_20260224,12:31:00,12:39:00,STOP_SMN,4
T_8910_20260224,13:18:00,13:21:00,STOP_BO2,5
T_8910_20260224,13:47:00,13:49:00,STOP_F__,6
T_8910_20260224,14:25:00,14:27:00,STOP_PD_,7
T_8910_20260224,14:42:00,14:44:00,STOP_VEM,8
T_8910_20260224,14:55:00,,STOP_VSL,9
T_8911_20260224,,11:05:00,STOP_VSL,0
T_8911_20260224,11:15:00,11:17:00,STOP_VEM,1
T_8911_20260224,11:33:00,11:35:00,STOP_PD_,2
T_8911_20260224,11:55:00,11:57:00,STOP_R__,3
T_8911_20260224,12:39:00,12:42:00,STOP_BO2,4
T_8911_20260224,13:20:00,13:28:00,STOP_SMN,5
T_8911_20260224,14:53:00,14:56:00,STOP_RTB,6
T_8911_20260224,15:10:00,,STOP_RMT,7
T_8913_20260224,,13:05:00,STOP_VSL,0
T_8913_20260224,13:15:00,13:17:00,STOP_VEM,1
T_8913_20260224,13:33:00,13:35:00,STOP_PD_,2
T_8913_20260224,14:09:00,14:11:00,STOP_F__,3
T_8913_20260224,14:39:00,14:42:00,STOP_BO2,4
T_8913_20260224,15:20:00,15:28:00,STOP_SMN,5
T_8913_20260224,16:53:00,16:56:00,STOP_RTB,6
T_8913_20260224,17:05:00,17:15:00,STOP_RMT,7
T_8913_20260224,18:16:00,18:18:00,STOP_NAF,8
T_8913_20260224,18:59:00,,STOP_SAL,9
T_8914_20260224,,11:55:00,STOP_RMT,0
T_8914_20260224,12:00:00,12:03:00,STOP_RTB,1
T_8914_20260224,13:31:00,13:39:00,STOP_SMN,2
T_8914_20260224,14:18:00,14:21:00,STOP_BO2,3
T_8914_20260224,15:04:00,15:06:00,STOP_R__,4
T_8914_20260224,15:25:00,15:27:00,STOP_PD_,5
T_8914_20260224,15:42:00,15:44:00,STOP_VEM,6
T_8914_20260224,15:55:00,,STOP_VSL,7
T_8916_20260224,,12:55:00,STOP_RMT,0
T_8916_20260224,13:00:00,13:03:00,STOP_RTB,1
T_8916_20260224,14:31:00,14:39:00,STOP_SMN,2
T_8916_20260224,15:18:00,15:21:00,STOP_BO2,3
T_8916_20260224,15:50:00,15:52:00,STOP_F__,4
T_8916_20260224,16:25:00,16:27:00,STOP_PD_,5
T_8916_20260224,16:42:00,16:44:00,STOP_VEM,6
T_8916_20260224,16:55:00,,STOP_VSL,7
T_8918_20260224,,13:35:00,STOP_NAC,0
T_8918_20260224,14:46:00,14:55:00,STOP_RMT,1
T_8918_20260224,15:02:00,15:05:00,STOP_RTB,2
T_8918_20260224,16:31:00,16:39:00,STOP_SMN,3
T_8918_20260224,17:18:00,17:21:00,STOP_BO2,4
T_8918_20260224,17:50:00,17:52:00,STOP_F__,5
T_8918_20260224,18:25:00,18:27:00,STOP_PD_,6
T_8918_20260224,18:42:00,18:55:00,STOP_VEM,7
T_8918_20260224,19:24:00,19:26:00,STOP_SDP,8
T_8918_20260224,19:47:00,19:49:00,STOP_PGR,9
T_8918_20260224,19:57:00,19:58:00,STOP_LTL,10
T_8918_20260224,20:22:00,20:24:00,STOP_RHA,11
T_8918_20260224,20:30:00,20:32:00,STOP_MNF,12
T_8918_20260224,20:56:00,,STOP_TSC,13
T_8919_20260224,,15:05:00,STOP_VSL,0
T_8919_20260224,15:15:00,15:17:00,STOP_VEM,1
T_8919_20260224,15:33:00,15:35:00,STOP_PD_,2
T_8919_20260224,16:09:00,16:11:00,STOP_F__,3
T_8919_20260224,16:39:00,16:42:00,STOP_BO2,4
T_8919_20260224,17:20:00,17:28:00,STOP_SMN,5
T_8919_20260224,18:54:00,18:57:00,STOP_RTB,6
T_8919_20260224,19:05:00,19:15:00,STOP_RMT,7
T_8919_20260224,20:43:00,20:55:00,STOP_NAC,8
T_8919_20260224,21:32:00,,STOP_SAL,9
T_8923_20260224,,16:05:00,STOP_VSL,0
T_8923_20260224,16:15:00,16:17:00,STOP_VEM,1
T_8923_20260224,16:33:00,16:35:00,STOP_PD_,2
T_8923_20260224,16:54:00,16:56:00,STOP_R__,3
T_8923_20260224,17:39:00,17:42:00,STOP_BO2,4
T_8923_20260224,18:20:00,18:28:00,STOP_SMN,5
T_8923_20260224,20:05:00,20:15:00,STOP_RMT,6
T_8923_20260224,21:38:00,,STOP_NAC,7
T_8924_20260224,,06:55:00,STOP_RMT,0
T_8924_20260224,07:02:00,07:05:00,STOP_RTB,1
T_8924_20260224,08:31:00,08:39:00,STOP_SMN,2
T_8924_20260224,09:18:00,09:21:00,STOP_BO2,3
T_8924_20260224,09:47:00,09:49:00,STOP_F__,4
T_8924_20260224,10:25:00,10:27:00,STOP_PD_,5
T_8924_20260224,10:42:00,10:44:00,STOP_VEM,6
T_8924_20260224,10:55:00,,STOP_VSL,7
T_8925_20260224,,17:05:00,STOP_VSL,0
T_8925_20260224,17:15:00,17:17:00,STOP_VEM,1
T_8925_20260224,17:33:00,17:35:00,STOP_PD_,2
T_8925_20260224,18:09:00,18:11:00,STOP_F__,3
T_8925_20260224,18:39:00,18:42:00,STOP_BO2,4
T_8925_20260224,19:20:00,19:28:00,STOP_SMN,5
T_8925_20260224,20:54:00,20:57:00,STOP_RTB,6
T_8925_20260224,21:05:00,21:15:00,STOP_RMT,7
T_8925_20260224,22:33:00,,STOP_NAC,8
T_8927_20260224,,18:05:00,STOP_VSL,0
T_8927_20260224,18:15:00,18:17:00,STOP_VEM,1
T_8927_20260224,18:33:00,18:35:00,STOP_PD_,2
T_8927_20260224,19:09:00,19:11:00,STOP_F__,3
T_8927_20260224,19:39:00,19:42:00,STOP_BO2,4
T_8927_20260224,20:20:00,20:28:00,STOP_SMN,5
T_8927_20260224,21:54:00,21:57:00,STOP_RTB,6
T_8927_20260224,22:10:00,,STOP_RMT,7
T_8928_20260224,,15:55:00,STOP_RMT,0
T_8928_20260224,16:02:00,16:05:00,STOP_RTB,1
T_8928_20260224,17:31:00,17:39:00,STOP_SMN,2
T_8928_20260224,18:18:00,18:21:00,STOP_BO2,3
T_8928_20260224,18:47:00,18:49:00,STOP_F__,4
T_8928_20260224,19:25:00,19:27:00,STOP_PD_,5
T_8928_20260224,19:42:00,19:44:00,STOP_VEM,6
T_8928_20260224,19:55:00,,STOP_VSL,7
T_8929_20260224,,12:05:00,STOP_VSL,0
T_8929_20260224,12:15:00,12:17:00,STOP_VEM,1
T_8929_20260224,12:33:00,12:35:00,STOP_PD_,2
T_8929_20260224,13:09:00,13:11:00,STOP_F__,3
T_8929_20260224,13:39:00,13:42:00,STOP_BO2,4
T_8929_20260224,14:20:00,14:28:00,STOP_SMN,5
T_8929_20260224,16:00:00,16:10:00,STOP_RMT,6
T_8929_20260224,17:28:00,,STOP_NAC,7
T_8953_20260224,,06:42:00,STOP_BLZ,0
T_8953_20260224,07:11:00,07:13:00,STOP_TCN,1
T_8953_20260224,07:25:00,07:27:00,STOP_RVR,2
T_8953_20260224,08:10:00,08:22:00,STOP_VPN,3
T_8953_20260224,09:14:00,09:17:00,STOP_BO2,4
T_8953_20260224,09:54:00,10:03:00,STOP_SMN,5
T_8953_20260224,11:40:00,,STOP_RMT,6
T_8956_20260224,,07:02:00,STOP_NAC,0
T_8956_20260224,08:15:00,08:25:00,STOP_RMT,1
T_8956_20260224,09:57:00,10:05:00,STOP_SMN,2
T_8956_20260224,10:43:00,10:46:00,STOP_BO2,3
T_8956_20260224,11:38:00,11:49:00,STOP_VPN,4
T_8956_20260224,12:05:00,12:07:00,STOP_PSY,5
T_8956_20260224,12:14:00,12:16:00,STOP_DSG,6
T_8956_20260224,12:33:00,,STOP_BSC,7
T_8959_20260224,,13:29:00,STOP_BSC,0
T_8959_20260224,13:42:00,13:44:00,STOP_DSG,1
T_8959_20260224,13:51:00,13:53:00,STOP_PSY,2
T_8959_20260224,14:11:00,14:22:00,STOP_VPN,3
T_8959_20260224,15:14:00,15:17:00,STOP_BO2,4
T_8959_20260224,15:54:00,16:03:00,STOP_SMN,5
T_8959_20260224,17:40:00,,STOP_RMT,6
T_8960_20260224,,12:25:00,STOP_RMT,0
T_8960_20260224,13:57:00,14:05:00,STOP_SMN,1
T_8960_20260224,14:43:00,14:46:00,STOP_BO2,2
T_8960_20260224,15:38:00,15:49:00,STOP_VPN,3
T_8960_20260224,16:05:00,16:07:00,STOP_PSY,4
T_8960_20260224,16:14:00,16:16:00,STOP_DSG,5
T_8960_20260224,16:33:00,,STOP_BSC,6
T_8966_20260224,,18:25:00,STOP_RMT,0
T_8966_20260224,19:57:00,20:05:00,STOP_SMN,1
T_8966_20260224,20:43:00,20:46:00,STOP_BO2,2
T_8966_20260224,21:38:00,21:50:00,STOP_VPN,3
T_8966_20260224,22:30:00,22:32:00,STOP_RVR,4
T_8966_20260224,22:44:00,22:46:00,STOP_TCN,5
T_8966_20260224,23:23:00,,STOP_BLZ,6
T_8967_20260224,,17:29:00,STOP_BSC,0
T_8967_20260224,17:41:00,17:43:00,STOP_DSG,1
T_8967_20260224,17:50:00,17:52:00,STOP_PSY,2
T_8967_20260224,18:11:00,18:22:00,STOP_VPN,3
T_8967_20260224,19:14:00,19:17:00,STOP_BO2,4
T_8967_20260224,19:54:00,20:03:00,STOP_SMN,5
T_8967_20260224,21:32:00,21:35:00,STOP_RTB,6
T_8967_20260224,21:43:00,,STOP_RMT,7
T_8970_20260224,,05:57:00,STOP_VSL,0
T_8970_20260224,06:07:00,06:09:00,STOP_VEM,1
T_8970_20260224,06:24:00,06:26:00,STOP_PD_,2
