route_id,service_id,trip_id,trip_short_name
R_8111,SVC_20260224,T_8111_20260224,8111
R_8900,SVC_20260224,T_8900_20260224,8900
R_8902,SVC_20260224,T_8902_20260224,8902
R_8903,SVC_20260224,T_8903_20260224,8903
R_8904,SVC_20260224,T_8904_20260224,8904
R_8905,SVC_20260224,T_8905_20260224,8905
R_8906,SVC_20260224,T_8906_20260224,8906
R_8907,SVC_20260224,T_8907_20260224,8907
R_8910,SVC_20260224,T_8910_20260224,8910
R_8911,SVC_20260224,T_8911_20260224,8911
R_8913,SVC_20260224,T_8913_20260224,8913
R_8914,SVC_20260224,T_8914_20260224,8914
R_8916,SVC_20260224,T_8916_20260224,8916
R_8918,SVC_20260224,T_8918_20260224,8918
R_8919,SVC_20260224,T_8919_20260224,8919
R_8923,SVC_20260224,T_8923_20260224,8923
R_8924,SVC_20260224,T_8924_20260224,8924
R_8925,SVC_20260224,T_8925_20260224,8925
R_8927,SVC_20260224,T_8927_20260224,8927
R_8928,SVC_20260224,T_8928_20260224,8928
R_8929,SVC_20260224,T_8929_20260224,8929
R_8953,SVC_20260224,T_8953_20260224,8953
R_8956,SVC_20260224,T_8956_20260224,8956
R_8959,SVC_20260224,T_8959_20260224,8959
R_8960,SVC_20260224,T_8960_20260224,8960
R_8966,SVC_20260224,T_8966_20260224,8966
R_8967,SVC_20260224,T_8967_20260224,8967
R_8970,SVC_20260224,T_8970_20260224,8970
R_8971,SVC_20260224,T_8971_20260224,8971
R_8973,SVC_20260224,T_8973_20260224,8973
R_8974,SVC_20260224,T_8974_20260224,8974
R_8977,SVC_20260224,T_8977_20260224,8977
R_8978,SVC_20260224,T_8978_20260224,8978
R_8981,SVC_20260224,T_8981_20260224,8981
R_8983,SVC_20260224,T_8983_20260224,8983
R_8984,SVC_20260224,T_8984_20260224,8984
R_8986,SVC_20260224,T_8986_20260224,8986
R_8987,SVC_20260224,T_8987_20260224,8987
R_8988,SVC_20260224,T_8988_20260224,8988
R_8992,SVC_20260224,T_8992_20260224,8992
R_8993,SVC_20260224,T_8993_20260224,8993
R_8995,SVC_20260224,T_8995_20260224,8995
R_8997,SVC_20260224,T_8997_20260224,8997
R_9900,SVC_20260224,T_9900_20260224,9900
R_9903,SVC_20260224,T_9903_20260224,9903
R_9904,SVC_20260224,T_9904_20260224,9904
R_9908,SVC_20260224,T_9908_20260224,9908
R_9912,SVC_20260224,T_9912_20260224,9912
R_9916,SVC_20260224,T_9916_20260224,9916
R_9919,SVC_20260224,T_9919_20260224,9919
R_9923,SVC_20260224,T_9923_20260224,9923
R_9928,SVC_20260224,T_9928_20260224,9928
R_9935,SVC_20260224,T_9935_20260224,9935
R_9939,SVC_20260224,T_9939_20260224,9939
R_9941,SVC_20260224,T_9941_20260224,9941
R_9944,SVC_20260224,T_9944_20260224,9944
R_9947,SVC_20260224,T_9947_20260224,9947
R_9948,SVC_20260224,T_9948_20260224,9948
R_9951,SVC_20260224,T_9951_20260224,9951
R_9955,SVC_20260224,T_9955_20260224,9955
R_9961,SVC_20260224,T_9961_20260224,9961
R_9967,SVC_20260224,T_9967_20260224,9967
R_9969,SVC_20260224,T_9969_20260224,9969
R_9970,SVC_20260224,T_9970_20260224,9970
R_9971,SVC_20260224,T_9971_20260224,9971
R_9974,SVC_20260224,T_9974_20260224,9974
R_9978,SVC_20260224,T_9978_20260224,9978
R_9979,SVC_20260224,T_9979_20260224,9979
R_9980,SVC_20260224,T_9980_20260224,9980
R_9982,SVC_20260224,T_9982_20260224,9982
R_9983,SVC_20260224,T_9983_20260224,9983
R_9984,SVC_20260224,T_9984_20260224,9984
R_9985,SVC_20260224,T_9985_20260224,9985
R_9986,SVC_20260224,T_9986_20260224,9986
R_9987,SVC_20260224,T_9987_20260224,9987
R_9989,SVC_20260224,T_9989_20260224,9989
R_9990,SVC_20260224,T_9990_20260224,9990
R_9992,SVC_20260224,T_9992_20260224,9992
R_9993,SVC_20260224,T_9993_20260224,9993
R_9994,SVC_20260224,T_9994_20260224,9994
R_9996,SVC_20260224,T_9996_20260224,9996
R_9998,SVC_20260224,T_9998_20260224,9998
