location_name,status,lat,lon,first_seen_utc,last_seen_utc,seen_count,stale
Bari Centrale,HAS_COORDINATES,41.1178474,16.8697567,local_20260222T205552Z,local_20260222T205552Z,1,YES
Barletta,HAS_COORDINATES,41.3150482,16.2787895,local_20260222T205552Z,local_20260222T205552Z,1,YES
Benevento,HAS_COORDINATES,41.1418495,14.7699404,local_20260222T205552Z,local_20260222T205552Z,1,YES
Bisceglie,HAS_COORDINATES,41.235569,16.4992409,local_20260222T205552Z,local_20260222T205552Z,1,YES
Bologna centrale,HAS_COORDINATES,44.5059052,11.3433666,local_20260222T205552Z,local_20260222T205552Z,1,YES
Bolzano,HAS_COORDINATES,46.4964256,11.3588104,local_20260222T205552Z,local_20260222T205552Z,1,YES
Brescia,HAS_COORDINATES,45.5321617,10.2128696,local_20260222T205552Z,local_20260222T205552Z,1,YES
Caserta,HAS_COORDINATES,41.0688515,14.3270874,local_20260222T205552Z,local_20260222T205552Z,1,YES
Conegliano,HAS_COORDINATES,45.8845596,12.2987499,local_20260222T205552Z,local_20260222T205552Z,1,YES
Desenzano,HAS_COORDINATES,45.4626312,10.5363703,local_20260222T205552Z,local_20260222T205552Z,1,YES
Ferrara,HAS_COORDINATES,44.8428154,11.6038637,local_20260222T205552Z,local_20260222T205552Z,1,YES
Firenze Santa Maria Novella,HAS_COORDINATES,43.7849312,11.24403,local_20260222T205552Z,local_20260222T205552Z,1,YES
Foggia,HAS_COORDINATES,41.4659195,15.5559101,local_20260222T205552Z,local_20260222T205552Z,1,YES
Genova Brignole,HAS_COORDINATES,44.4069405,8.94721985,local_20260222T205552Z,local_20260222T205552Z,1,YES
Genova Piazza Principe,HAS_COORDINATES,44.4174995,8.92107391,local_20260222T205552Z,local_20260222T205552Z,1,YES
Latisana-Lignano,HAS_COORDINATES,45.7773514,13.0011301,local_20260222T205552Z,local_20260222T205552Z,1,YES
Mediopadana R.Emilia,HAS_COORDINATES,44.7244492,10.6527796,local_20260222T205552Z,local_20260222T205552Z,1,YES
Milano Centrale,HAS_COORDINATES,45.487011,9.20547962,local_20260222T205552Z,local_20260222T205552Z,1,YES
Milano Expo Rho,HAS_COORDINATES,45.52108,9.08840275,local_20260222T205552Z,local_20260222T205552Z,1,YES
Milano Rogoredo,HAS_COORDINATES,45.52108,9.08840275,local_20260222T205552Z,local_20260222T205552Z,1,YES
Molfetta,HAS_COORDINATES,41.1959305,16.5967808,local_20260222T205552Z,local_20260222T205552Z,1,YES
Monfalcone,HAS_COORDINATES,45.8075905,13.5429621,local_20260222T205552Z,local_20260222T205552Z,1,YES
Napoli,HAS_COORDINATES,40.8529167,14.2729483,local_20260222T205552Z,local_20260222T205552Z,1,YES
Napoli Afragola,HAS_COORDINATES,40.9317589,14.3313503,local_20260222T205552Z,local_20260222T205552Z,1,YES
Padova,HAS_COORDINATES,45.4177589,11.8805075,local_20260222T205552Z,local_20260222T205552Z,1,YES
Peschiera,HAS_COORDINATES,45.4384995,10.7025099,local_20260222T205552Z,local_20260222T205552Z,1,YES
Pordenone,HAS_COORDINATES,45.9563904,12.6538897,local_20260222T205552Z,local_20260222T205552Z,1,YES
Portogruaro,HAS_COORDINATES,45.7812233,12.8322411,local_20260222T205552Z,local_20260222T205552Z,1,YES
Roma Termini,HAS_COORDINATES,41.9011269,12.5018454,local_20260222T205552Z,local_20260222T205552Z,1,YES
Roma Tiburtina,HAS_COORDINATES,41.9111748,12.5320101,local_20260222T205552Z,local_20260222T205552Z,1,YES
Rovereto,HAS_COORDINATES,45.8909607,11.0336008,local_20260222T205552Z,local_20260222T205552Z,1,YES
Rovigo,HAS_COORDINATES,45.0768204,11.7809496,local_20260222T205552Z,local_20260222T205552Z,1,YES
S.Donà-Jesolo,HAS_COORDINATES,45.6397552,12.5595999,local_20260222T205552Z,local_20260222T205552Z,1,YES
Salerno,HAS_COORDINATES,40.6755219,14.7723999,local_20260222T205552Z,local_20260222T205552Z,1,YES
Torino Porta di Susa,HAS_COORDINATES,45.0715408,7.66585016,local_20260222T205552Z,local_20260222T205552Z,1,YES
Torino Porta Nuova,HAS_COORDINATES,45.0609131,7.67749977,local_20260222T205552Z,local_20260222T205552Z,1,YES
Trani,HAS_COORDINATES,41.2728004,16.4176998,local_20260222T205552Z,local_20260222T205552Z,1,YES
Trento,HAS_COORDINATES,46.0722198,11.1188898,local_20260222T205552Z,local_20260222T205552Z,1,YES
Treviso C.le,HAS_COORDINATES,45.6596603,12.2451897,local_20260222T205552Z,local_20260222T205552Z,1,YES
Trieste Airport,HAS_COORDINATES,45.8175011,13.4861097,local_20260222T205552Z,local_20260222T205552Z,1,YES
Trieste C.le,HAS_COORDINATES,45.6584015,13.7714195,local_20260222T205552Z,local_20260222T205552Z,1,YES
Udine,HAS_COORDINATES,46.0556908,13.2418699,local_20260222T205552Z,local_20260222T205552Z,1,YES
Venezia Mestre,HAS_COORDINATES,45.4824524,12.2317038,local_20260222T205552Z,local_20260222T205552Z,1,YES
Venezia Santa Lucia,HAS_COORDINATES,45.4410706,12.3210316,local_20260222T205552Z,local_20260222T205552Z,1,YES
Verona Porta Nuova,HAS_COORDINATES,45.4290199,10.9824781,local_20260222T205552Z,local_20260222T205552Z,1,YES
Vicenza,HAS_COORDINATES,45.5410995,11.5407772,local_20260222T205552Z,local_20260222T205552Z,1,YES
